timestep,stop_id,queue_length
1,0,0
1,1,1
1,2,2
1,3,1
1,4,3
1,5,0
1,6,2
1,7,36
1,8,5
1,9,3
1,10,1
1,11,2
1,12,4
1,13,1
2,0,0
2,1,4
2,2,5
2,3,3
2,4,3
2,5,2
2,6,5
2,7,68
2,8,9
2,9,4
2,10,4
2,11,4
2,12,7
2,13,2
3,0,0
3,1,7
3,2,9
3,3,6
3,4,6
3,5,4
3,6,9
3,7,105
3,8,12
3,9,6
3,10,5
3,11,6
3,12,8
3,13,7
4,0,0
4,1,10
4,2,11
4,3,7
4,4,6
4,5,4
4,6,10
4,7,141
4,8,15
4,9,10
4,10,6
4,11,7
4,12,9
4,13,11
5,0,0
5,1,10
5,2,12
5,3,8
5,4,11
5,5,5
5,6,13
5,7,193
5,8,18
5,9,11
5,10,10
5,11,10
5,12,9
5,13,13
6,0,0
6,1,14
6,2,13
6,3,10
6,4,12
6,5,7
6,6,13
6,7,227
6,8,21
6,9,13
6,10,11
6,11,12
6,12,11
6,13,16
7,0,0
7,1,17
7,2,18
7,3,10
7,4,12
7,5,9
7,6,14
7,7,275
7,8,25
7,9,13
7,10,14
7,11,16
7,12,16
7,13,17
8,0,0
8,1,19
8,2,19
8,3,10
8,4,13
8,5,12
8,6,17
8,7,313
8,8,26
8,9,17
8,10,18
8,11,17
8,12,18
8,13,21
9,0,0
9,1,19
9,2,20
9,3,11
9,4,14
9,5,16
9,6,17
9,7,345
9,8,28
9,9,20
9,10,21
9,11,18
9,12,23
9,13,22
10,0,0
10,1,21
10,2,20
10,3,14
10,4,15
10,5,18
10,6,20
10,7,378
10,8,34
10,9,24
10,10,23
10,11,18
10,12,26
10,13,23
11,0,0
11,1,23
11,2,24
11,3,16
11,4,15
11,5,18
11,6,21
11,7,413
11,8,39
11,9,26
11,10,27
11,11,18
11,12,29
11,13,23
12,0,0
12,1,25
12,2,26
12,3,20
12,4,15
12,5,19
12,6,25
12,7,447
12,8,40
12,9,29
12,10,31
12,11,21
12,12,30
12,13,25
13,0,0
13,1,29
13,2,27
13,3,20
13,4,17
13,5,20
13,6,27
13,7,492
13,8,43
13,9,32
13,10,33
13,11,22
13,12,32
13,13,28
14,0,0
14,1,31
14,2,29
14,3,23
14,4,17
14,5,22
14,6,27
14,7,500
14,8,49
14,9,34
14,10,34
14,11,27
14,12,36
14,13,31
15,0,0
15,1,32
15,2,30
15,3,26
15,4,19
15,5,26
15,6,31
15,7,500
15,8,56
15,9,37
15,10,34
15,11,32
15,12,39
15,13,35
16,0,0
16,1,32
16,2,31
16,3,26
16,4,20
16,5,26
16,6,35
16,7,500
16,8,59
16,9,40
16,10,36
16,11,33
16,12,41
16,13,38
17,0,0
17,1,35
17,2,33
17,3,29
17,4,23
17,5,27
17,6,36
17,7,500
17,8,65
17,9,43
17,10,39
17,11,37
17,12,43
17,13,40
18,0,0
18,1,37
18,2,37
18,3,33
18,4,24
18,5,31
18,6,39
18,7,500
18,8,69
18,9,44
18,10,39
18,11,39
18,12,43
18,13,43
19,0,0
19,1,37
19,2,38
19,3,36
19,4,24
19,5,32
19,6,43
19,7,500
19,8,71
19,9,44
19,10,42
19,11,40
19,12,47
19,13,46
20,0,0
20,1,39
20,2,40
20,3,37
20,4,25
20,5,34
20,6,46
20,7,500
20,8,76
20,9,45
20,10,46
20,11,41
20,12,49
20,13,48
21,0,0
21,1,40
21,2,40
21,3,38
21,4,26
21,5,36
21,6,48
21,7,500
21,8,77
21,9,46
21,10,47
21,11,43
21,12,49
21,13,50
22,0,0
22,1,42
22,2,40
22,3,41
22,4,30
22,5,38
22,6,49
22,7,500
22,8,79
22,9,47
22,10,48
22,11,44
22,12,49
22,13,52
23,0,0
23,1,44
23,2,42
